"last_name, first_name","player_id","oaa","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent"
"Crow-Armstrong, Pete",691718,"24","19","32","59.4","7","8","87.5","13","15","86.7","23","25","92.0","42","45","93.3"
"Rafaela, Ceddanne",678882,"21","7","26","26.9","10","10","100.0","13","14","92.9","25","26","96.2","22","24","91.7"
"Scott II, Victor",687363,"17","5","22","22.7","3","5","60.0","18","20","90.0","31","32","96.9","32","32","100.0"
"Young, Jacob",696285,"14","4","22","18.2","7","9","77.8","12","14","85.7","22","23","95.7","21","21","100.0"
"Clarke, Denzel",672016,"13","4","13","30.8","5","6","83.3","14","15","93.3","10","11","90.9","15","15","100.0"
"Isbel, Kyle",664728,"12","4","20","20.0","4","7","57.1","12","14","85.7","23","25","92.0","15","15","100.0"
"Pages, Andy",681624,"11","1","29","3.4","1","2","50.0","16","20","80.0","31","31","100.0","33","33","100.0"
"Rodríguez, Julio",677594,"11","3","23","13.0","2","5","40.0","11","18","61.1","40","42","95.2","41","42","97.6"
"Straw, Myles",664702,"10","4","17","23.5","3","5","60.0","5","6","83.3","20","21","95.2","17","17","100.0"
"Langford, Wyatt",694671,"10","3","24","12.5","9","10","90.0","8","11","72.7","30","35","85.7","24","24","100.0"
"Carroll, Corbin",682998,"10","3","23","13.0","5","7","71.4","15","19","78.9","25","26","96.2","35","39","89.7"
"Teodosio, Bryce",669326,"10","5","14","35.7","1","1","100.0","5","6","83.3","14","14","100.0","13","13","100.0"
"Varsho, Daulton",662139,"9","2","11","18.2","4","5","80.0","9","9","100.0","11","14","78.6","25","25","100.0"
"Meyers, Jake",676694,"9","3","16","18.8","1","2","50.0","16","19","84.2","20","22","90.9","17","18","94.4"
"Harris II, Michael",671739,"8","1","27","3.7","2","2","100.0","19","21","90.5","33","39","84.6","38","38","100.0"
"Tatis Jr., Fernando",665487,"8","2","29","6.9","4","8","50.0","16","20","80.0","34","38","89.5","28","28","100.0"
"Abreu, Wilyer",677800,"8","9","24","37.5","4","5","80.0","4","7","57.1","22","28","78.6","18","19","94.7"
"Frelick, Sal",686217,"7","0","17","0.0","5","11","45.5","14","17","82.4","19","20","95.0","32","34","94.1"
"Bader, Harrison",664056,"7","3","16","18.8","2","3","66.7","15","18","83.3","26","30","86.7","16","17","94.1"
"Bellinger, Cody",641355,"7","2","27","7.4","3","8","37.5","15","22","68.2","26","28","92.9","17","17","100.0"
"Robert Jr., Luis",673357,"7","1","11","9.1","6","9","66.7","8","9","88.9","17","20","85.0","20","21","95.2"
"Doyle, Brenton",686668,"6","2","34","5.9","4","10","40.0","15","20","75.0","33","35","94.3","24","29","82.8"
"Anthony, Roman",701350,"6","3","8","37.5","1","1","100.0","2","2","100.0","9","10","90.0","9","9","100.0"
"Mangum, Jake",663968,"6","3","13","23.1","4","7","57.1","5","8","62.5","12","12","100.0","17","19","89.5"
"Rojas, Johan",679032,"5","2","7","28.6","2","2","100.0","6","7","85.7","9","10","90.0","7","7","100.0"
"Hill, Derek",656537,"5","0","4","0.0","1","1","100.0","7","7","100.0","9","9","100.0","4","4","100.0"
"Kwan, Steven",680757,"5","5","28","17.9","2","5","40.0","8","9","88.9","26","30","86.7","30","33","90.9"
"Soderstrom, Tyler",691016,"5","1","18","5.6","3","5","60.0","8","12","66.7","18","20","90.0","17","18","94.4"
"Mitchell, Garrett",669003,"5","1","4","25.0","1","1","100.0","4","4","100.0","7","7","100.0","9","9","100.0"
"Hernández, Heriberto",681715,"5","2","8","25.0","3","5","60.0","0","0",,"5","5","100.0","10","10","100.0"
"Lockridge, Brandon",663604,"5","0","6","0.0","0","0",,"6","6","100.0","10","10","100.0","7","7","100.0"
"Church, Nathan",701675,"4","0","1","0.0","1","1","100.0","4","4","100.0","6","6","100.0","5","5","100.0"
"Collins, Isaac",686555,"4","6","20","30.0","3","8","37.5","11","13","84.6","7","11","63.6","17","19","89.5"
"Mullins, Cedric",656775,"4","1","27","3.7","4","9","44.4","10","14","71.4","13","15","86.7","28","28","100.0"
"Butler, Lawrence",671732,"4","1","24","4.2","2","4","50.0","10","17","58.8","18","19","94.7","30","33","90.9"
"Meadows, Parker",678009,"4","1","7","14.3","1","2","50.0","7","9","77.8","13","15","86.7","10","10","100.0"
"Barrosa, Jorge",678489,"4","2","7","28.6","3","3","100.0","1","1","100.0","6","7","85.7","3","3","100.0"
"Marsee, Jakob",805300,"4","1","7","14.3","1","2","50.0","8","9","88.9","11","12","91.7","14","15","93.3"
"Judge, Aaron",592450,"4","2","11","18.2","0","4","0.0","11","15","73.3","17","19","89.5","22","22","100.0"
"Carter, Evan",694497,"4","1","8","12.5","1","2","50.0","4","6","66.7","11","11","100.0","8","8","100.0"
"Báez, Javier",595879,"3","2","4","50.0","0","0",,"5","7","71.4","5","6","83.3","9","9","100.0"
"Buxton, Byron",621439,"3","1","18","5.6","2","6","33.3","7","12","58.3","19","21","90.5","21","21","100.0"
"Misner, Kameron",670224,"3","0","6","0.0","3","4","75.0","5","5","100.0","8","8","100.0","12","13","92.3"
"Chourio, Jackson",694192,"3","4","25","16.0","2","9","22.2","6","9","66.7","18","20","90.0","27","31","87.1"
"Merrill, Jackson",701538,"3","2","22","9.1","3","4","75.0","2","5","40.0","22","26","84.6","30","31","96.8"
"White, Eli",642201,"3","2","7","28.6","3","4","75.0","3","5","60.0","8","8","100.0","7","7","100.0"
"Wiemer, Joey",686894,"3","2","2","100.0","0","0",,"2","2","100.0","5","6","83.3","3","3","100.0"
"Lukes, Nathan",664770,"3","2","25","8.0","3","7","42.9","10","12","83.3","18","22","81.8","23","24","95.8"
"McCarthy, Jake",664983,"3","1","14","7.1","2","3","66.7","5","6","83.3","6","7","85.7","10","10","100.0"
"Rave, John",670231,"3","1","8","12.5","4","5","80.0","4","5","80.0","5","7","71.4","12","12","100.0"
"Taylor, Michael A.",572191,"3","1","15","6.7","2","3","66.7","4","6","66.7","15","17","88.2","18","19","94.7"
"Crews, Dylan",686611,"3","2","19","10.5","2","4","50.0","4","8","50.0","16","18","88.9","19","19","100.0"
"Taylor, Tyrone",621438,"3","2","16","12.5","2","2","100.0","7","14","50.0","20","23","87.0","17","17","100.0"
"Roden, Alan",702176,"2","0","7","0.0","0","2","0.0","2","3","66.7","9","9","100.0","4","4","100.0"
"Dunn, Blake",694362,"2","0","2","0.0","1","1","100.0","1","1","100.0","1","1","100.0","6","6","100.0"
"Baddoo, Akil",668731,"2","1","3","33.3","1","2","50.0","2","2","100.0","1","1","100.0","0","0",
"Encarnacion, Jerar",666464,"2","1","2","50.0","0","1","0.0","3","3","100.0","1","1","100.0","2","2","100.0"
"Gilbert, Drew",687551,"2","1","4","25.0","3","4","75.0","2","4","50.0","4","4","100.0","6","6","100.0"
"Pérez, Wenceel",672761,"2","2","19","10.5","3","3","100.0","6","7","85.7","10","14","71.4","11","12","91.7"
"McCormick, Chas",676801,"2","1","9","11.1","0","1","0.0","1","3","33.3","9","9","100.0","6","6","100.0"
"Hampson, Garrett",641658,"2","0","2","0.0","1","1","100.0","3","3","100.0","2","2","100.0","2","2","100.0"
"Helman, Michael",680737,"2","1","5","20.0","0","1","0.0","3","5","60.0","13","13","100.0","7","7","100.0"
"Keirsey Jr., DaShawn",680577,"2","0","5","0.0","0","0",,"2","2","100.0","3","3","100.0","2","2","100.0"
"Myers, Dane",667472,"2","3","17","17.6","0","2","0.0","6","7","85.7","15","17","88.2","14","16","87.5"
"Dean, Justin",681909,"1","1","1","100.0","1","1","100.0","0","0",,"0","1","0.0","0","0",
"Edman, Tommy",669242,"1","0","2","0.0","1","2","50.0","1","1","100.0","2","2","100.0","10","11","90.9"
"Friedl, TJ",670770,"1","0","27","0.0","1","7","14.3","9","13","69.2","22","24","91.7","34","34","100.0"
"García, Adolis",666969,"1","2","26","7.7","5","8","62.5","12","17","70.6","18","21","85.7","23","28","82.1"
"Greene, Riley",682985,"1","2","23","8.7","3","6","50.0","7","13","53.8","23","26","88.5","15","18","83.3"
"Hays, Austin",669720,"1","0","10","0.0","0","1","0.0","2","3","66.7","6","7","85.7","9","9","100.0"
"Johnson, Bryce",669369,"1","1","2","50.0","0","1","0.0","1","1","100.0","1","1","100.0","5","5","100.0"
"Johnson, Daniel",669288,"1","0","2","0.0","0","0",,"3","3","100.0","2","2","100.0","5","5","100.0"
"McKinstry, Zach",656716,"1","0","5","0.0","1","2","50.0","2","2","100.0","5","7","71.4","3","3","100.0"
"Perkins, Blake",663368,"1","0","7","0.0","0","2","0.0","3","3","100.0","3","3","100.0","11","12","91.7"
"Schneemann, Daniel",682177,"1","0","4","0.0","2","4","50.0","2","2","100.0","5","6","83.3","3","3","100.0"
"Slater, Austin",596103,"1","1","4","25.0","1","1","100.0","0","0",,"6","6","100.0","4","5","80.0"
"Smith, Cam",701358,"1","1","17","5.9","1","7","14.3","13","18","72.2","16","18","88.9","17","18","94.4"
"Trammell, Taylor",666211,"1","2","11","18.2","0","2","0.0","1","3","33.3","9","10","90.0","9","9","100.0"
"Alexander, Blaze",677942,"1","0","1","0.0","0","0",,"0","0",,"2","2","100.0","2","2","100.0"
"Thomas, Rhylan",689041,"1","0","0",,"0","0",,"1","1","100.0","1","1","100.0","1","1","100.0"
"Noda, Ryan",676116,"1","0","1","0.0","0","0",,"1","1","100.0","2","2","100.0","0","0",
"McCutchen, Andrew",457705,"1","0","0",,"0","0",,"2","2","100.0","1","1","100.0","1","1","100.0"
"Bruján, Vidal",660644,"1","0","0",,"1","1","100.0","1","1","100.0","0","0",,"2","2","100.0"
"Caissie, Owen",683357,"1","0","1","0.0","2","3","66.7","1","1","100.0","1","1","100.0","2","2","100.0"
"Biggio, Cavan",624415,"1","0","0",,"1","1","100.0","0","0",,"1","1","100.0","2","2","100.0"
"Siani, Michael",672279,"1","1","1","100.0","0","0",,"1","1","100.0","0","1","0.0","2","2","100.0"
"Fletcher, Dominic",666150,"1","0","1","0.0","0","0",,"1","1","100.0","1","1","100.0","0","0",
"Jankowski, Travis",608671,"1","0","6","0.0","0","0",,"1","1","100.0","1","1","100.0","2","2","100.0"
"Gonzalez, Oscar",660757,"1","0","4","0.0","0","0",,"1","1","100.0","0","0",,"5","5","100.0"
"Mesa Jr., Victor",683748,"1","0","0",,"0","0",,"2","2","100.0","0","0",,"3","3","100.0"
"Melendez, MJ",669004,"1","0","2","0.0","0","0",,"1","1","100.0","2","2","100.0","3","3","100.0"
"Cortes, Carlos",666126,"1","0","6","0.0","0","0",,"1","1","100.0","1","1","100.0","3","3","100.0"
"DeLuca, Jonny",676356,"1","0","2","0.0","0","0",,"3","3","100.0","2","2","100.0","4","4","100.0"
"Tawa, Tim",694374,"1","0","3","0.0","0","1","0.0","4","5","80.0","3","3","100.0","2","2","100.0"
"Melton, Jacob",689200,"1","1","5","20.0","1","1","100.0","2","3","66.7","2","2","100.0","8","8","100.0"
"Hernández, Enrique",571771,"1","0","9","0.0","1","1","100.0","4","5","80.0","3","4","75.0","4","4","100.0"
"Alcántara, Kevin",682634,"0","0","0",,"0","0",,"0","0",,"0","0",,"1","1","100.0"
"Vierling, Matt",663837,"0","0","5","0.0","1","1","100.0","3","6","50.0","4","5","80.0","4","4","100.0"
"Fraley, Jake",641584,"0","0","11","0.0","3","3","100.0","4","10","40.0","7","9","77.8","10","10","100.0"
"Taylor, Samad",669392,"0","0","0",,"0","0",,"0","0",,"0","0",,"1","1","100.0"
"Fairchild, Stuart",656413,"0","0","5","0.0","0","2","0.0","0","0",,"2","2","100.0","0","0",
"Sosa, Edmundo",624641,"0","0","1","0.0","0","0",,"0","0",,"1","1","100.0","0","0",
"Reyes, Pablo",622569,"0","0","1","0.0","0","0",,"0","0",,"1","1","100.0","2","2","100.0"
"Ward, Taylor",621493,"0","2","28","7.1","1","4","25.0","9","14","64.3","17","21","81.0","29","29","100.0"
"Osuna, Alejandro",696030,"0","1","6","16.7","0","2","0.0","1","3","33.3","12","14","85.7","8","8","100.0"
"Benson, Will",666181,"0","0","9","0.0","1","4","25.0","3","6","50.0","24","24","100.0","17","18","94.4"
"Marte, Starling",516782,"0","0","1","0.0","0","0",,"0","0",,"1","1","100.0","3","3","100.0"
"Hurtubise, Jacob",674441,"0","0","0",,"0","0",,"0","0",,"0","0",,"2","2","100.0"
"Blanco, Dairon",680118,"0","0","0",,"0","0",,"0","0",,"0","0",,"1","1","100.0"
"Adams, Jordyn",677941,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Yoshida, Masataka",807799,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Outman, James",681546,"0","0","10","0.0","0","0",,"7","8","87.5","6","8","75.0","5","7","71.4"
"Canha, Mark",592192,"0","0","5","0.0","0","0",,"1","1","100.0","0","1","0.0","2","2","100.0"
"Martin, Austin",668885,"0","0","6","0.0","1","1","100.0","5","6","83.3","3","4","75.0","8","10","80.0"
"Marsh, Brandon",669016,"0","1","26","3.8","2","4","50.0","4","11","36.4","24","27","88.9","18","18","100.0"
"Bauers, Jake",641343,"0","0","5","0.0","0","0",,"2","2","100.0","1","2","50.0","5","5","100.0"
"Kelenic, Jarred",672284,"0","0","1","0.0","1","1","100.0","0","2","0.0","3","3","100.0","4","4","100.0"
"Cruz, Oneil",665833,"0","0","34","0.0","2","4","50.0","5","9","55.6","21","24","87.5","24","25","96.0"
"Cowser, Colton",681297,"0","0","17","0.0","0","2","0.0","4","6","66.7","14","17","82.4","15","15","100.0"
"Raley, Luke",670042,"0","0","1","0.0","0","1","0.0","1","1","100.0","1","1","100.0","2","2","100.0"
"Eaton, Nate",681987,"0","0","3","0.0","0","1","0.0","0","0",,"1","1","100.0","3","3","100.0"
"Mastrobuoni, Miles",670156,"0","0","1","0.0","0","0",,"1","2","50.0","2","2","100.0","2","2","100.0"
"Happ, Ian",664023,"0","1","23","4.3","2","7","28.6","6","9","66.7","21","25","84.0","38","40","95.0"
"Kepler, Max",596146,"0","0","21","0.0","2","6","33.3","8","13","61.5","17","20","85.0","19","19","100.0"
"Paris, Kyren",677347,"0","0","2","0.0","0","0",,"1","2","50.0","2","3","66.7","8","8","100.0"
"Massey, Michael",686681,"0","0","0",,"0","0",,"0","0",,"2","2","100.0","0","0",
"Robertson, Will",683770,"0","0","2","0.0","0","0",,"1","3","33.3","4","4","100.0","3","3","100.0"
"Robles, Victor",645302,"0","0","11","0.0","1","1","100.0","0","1","0.0","7","9","77.8","7","7","100.0"
"Castro, Willi",650489,"0","0","4","0.0","0","1","0.0","5","7","71.4","6","8","75.0","10","10","100.0"
"Malloy, Justyn-Henry",669234,"0","0","2","0.0","0","0",,"0","1","0.0","1","1","100.0","3","3","100.0"
"Clemens, Kody",665019,"0","0","1","0.0","0","1","0.0","0","0",,"2","2","100.0","3","3","100.0"
"De La Cruz, Bryan",650559,"0","0","2","0.0","0","0",,"0","1","0.0","0","0",,"1","1","100.0"
"Dubón, Mauricio",643289,"0","0","1","0.0","1","2","50.0","1","3","33.3","5","6","83.3","8","8","100.0"
"Pillar, Kevin",607680,"0","0","1","0.0","0","1","0.0","1","1","100.0","3","4","75.0","0","0",
"Cameron, Daz",663662,"0","0","3","0.0","0","0",,"0","0",,"0","0",,"1","1","100.0"
"Schneider, Davis",676914,"0","0","5","0.0","0","2","0.0","2","3","66.7","6","6","100.0","8","9","88.9"
"Veen, Zac",691728,"0","0","1","0.0","0","0",,"0","0",,"1","1","100.0","2","2","100.0"
"Duran, Ezequiel",677649,"0","0","0",,"0","1","0.0","0","0",,"0","0",,"0","0",
"Heyward, Jason",518792,"0","0","3","0.0","0","1","0.0","2","2","100.0","1","2","50.0","3","3","100.0"
"Beavers, Dylan",687637,"0","0","5","0.0","0","1","0.0","2","2","100.0","8","10","80.0","4","4","100.0"
"Barrero, José",676480,"0","0","3","0.0","1","1","100.0","1","1","100.0","1","1","100.0","0","1","0.0"
"Ruiz, Esteury",665923,"0","0","1","0.0","0","0",,"1","1","100.0","1","1","100.0","0","0",
"Allen, Greg",656185,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"0","0",
