"last_name, first_name","player_id","oaa","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent"
"McKinney, Billy",641856,"0","0","1","0.0","0","1","0.0","0","0",,"0","0",,"1","1","100.0"
"McCray, Grant",687529,"0","0","0",,"0","0",,"0","0",,"0","0",,"1","1","100.0"
"Bae, Ji Hwan",678225,"0","0","2","0.0","0","0",,"1","1","100.0","0","0",,"1","1","100.0"
"Margot, Manuel",622534,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"1","1","100.0"
"Suzuki, Seiya",673548,"0","0","9","0.0","1","1","100.0","4","6","66.7","9","10","90.0","7","7","100.0"
"Kreidler, Ryan",668952,"0","0","1","0.0","1","1","100.0","0","0",,"3","3","100.0","1","1","100.0"
"Call, Alex",669743,"0","2","17","11.8","1","2","50.0","5","6","83.3","15","19","78.9","9","11","81.8"
"Tauchman, Mike",643565,"0","0","12","0.0","0","1","0.0","6","9","66.7","13","16","81.3","15","16","93.8"
"Loperfido, Joey",694388,"0","0","5","0.0","0","2","0.0","2","3","66.7","4","5","80.0","6","6","100.0"
"Julks, Corey",667452,"0","0","1","0.0","0","0",,"0","0",,"1","1","100.0","0","0",
"Caballero, José",676609,"0","0","5","0.0","2","3","66.7","2","3","66.7","4","5","80.0","2","2","100.0"
"Ornelas, Tirso",672359,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Thomas, Alek",677950,"0","0","33","0.0","5","7","71.4","14","16","87.5","22","32","68.8","32","34","94.1"
"Harris, Dustin",687957,"0","0","1","0.0","0","0",,"2","3","66.7","2","2","100.0","1","1","100.0"
"Herrera, Iván",671056,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"0","0",
"Tolbert, Tyler",686475,"0","0","0",,"0","1","0.0","3","4","75.0","4","5","80.0","6","6","100.0"
"Vilade, Ryan",668723,"0","0","1","0.0","0","0",,"0","1","0.0","1","1","100.0","2","2","100.0"
"Brennan, Will",686823,"0","0","0",,"0","1","0.0","0","0",,"0","0",,"0","0",
"Garcia, Maikel",672580,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"1","1","100.0"
"Hummel, Cooper",669450,"-1","0","5","0.0","1","2","50.0","0","1","0.0","3","4","75.0","2","2","100.0"
"Nimmo, Brandon",607043,"-1","1","24","4.2","2","4","50.0","6","11","54.5","14","20","70.0","27","27","100.0"
"Nootbaar, Lars",663457,"-1","0","25","0.0","2","8","25.0","5","9","55.6","14","16","87.5","21","22","95.5"
"O'Hearn, Ryan",656811,"-1","0","8","0.0","0","0",,"1","1","100.0","1","2","50.0","0","1","0.0"
"Pereira, Everson",677592,"-1","0","0",,"0","0",,"0","1","0.0","4","4","100.0","3","3","100.0"
"Campero, Gustavo",672569,"-1","0","4","0.0","0","0",,"1","2","50.0","3","4","75.0","2","2","100.0"
"Refsnyder, Rob",608701,"-1","0","7","0.0","0","1","0.0","0","1","0.0","3","3","100.0","4","4","100.0"
"Renfroe, Hunter",592669,"-1","0","7","0.0","2","4","50.0","2","3","66.7","3","3","100.0","3","3","100.0"
"Sanoja, Javier",691594,"-1","0","6","0.0","1","2","50.0","3","4","75.0","4","5","80.0","1","2","50.0"
"Sánchez, Jesús",660821,"-1","0","17","0.0","2","5","40.0","9","13","69.2","18","22","81.8","16","17","94.1"
"Taveras, Leody",665750,"-1","0","9","0.0","2","3","66.7","5","8","62.5","12","15","80.0","7","8","87.5"
"Thomas, Colby",687515,"-1","0","5","0.0","0","2","0.0","2","3","66.7","2","3","66.7","7","7","100.0"
"Wade Jr., LaMonte",664774,"-1","0","4","0.0","0","0",,"1","1","100.0","2","3","66.7","2","3","66.7"
"Wagaman, Eric",676572,"-1","0","1","0.0","0","1","0.0","0","0",,"0","0",,"1","1","100.0"
"Waters, Drew",671221,"-1","0","14","0.0","0","3","0.0","2","2","100.0","7","9","77.8","10","10","100.0"
"Solak, Nick",669256,"-1","0","1","0.0","0","1","0.0","0","2","0.0","0","0",,"1","1","100.0"
"DeLauter, Chase",800050,"-1","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Yorke, Nick",694377,"-1","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Rengifo, Luis",650859,"-1","0","0",,"0","0",,"0","0",,"1","1","100.0","0","0",
"Schuemann, Max",680474,"-1","0","1","0.0","0","0",,"0","0",,"1","2","50.0","1","1","100.0"
"Fitzgerald, Tyler",666149,"-1","0","0",,"0","0",,"0","0",,"1","2","50.0","0","0",
"Valera, George",671655,"-1","0","0",,"0","0",,"0","1","0.0","0","1","0.0","1","1","100.0"
"Espinal, Santiago",669289,"-1","0","0",,"0","0",,"0","0",,"0","1","0.0","0","0",
"Freeman, Cody",683227,"-1","0","1","0.0","0","0",,"0","0",,"1","2","50.0","1","1","100.0"
"Peters, Tristan",671976,"-1","0","0",,"0","1","0.0","0","0",,"1","1","100.0","0","0",
"Azocar, José",640492,"-1","0","2","0.0","0","0",,"0","1","0.0","2","2","100.0","1","2","50.0"
"McCusker, Carson",676812,"-1","0","1","0.0","0","0",,"0","0",,"0","1","0.0","1","1","100.0"
"Avans, Drew",682183,"-1","0","2","0.0","0","0",,"0","0",,"0","0",,"2","3","66.7"
"Simon, Ronny",682927,"-1","0","1","0.0","0","0",,"0","0",,"1","1","100.0","1","2","50.0"
"Campbell, Kristian",692225,"-1","0","3","0.0","0","0",,"0","1","0.0","2","2","100.0","0","0",
"Kemp, Otto",805249,"-1","0","0",,"0","0",,"1","2","50.0","1","2","50.0","2","2","100.0"
"Jones, Jahmai",663330,"-1","0","3","0.0","0","0",,"0","1","0.0","0","1","0.0","1","1","100.0"
"Siri, Jose",642350,"-1","0","3","0.0","0","0",,"0","0",,"3","3","100.0","1","2","50.0"
"Bouchard, Sean",656248,"-1","0","1","0.0","0","0",,"0","0",,"2","3","66.7","2","2","100.0"
"Hilliard, Sam",656541,"-1","0","4","0.0","0","1","0.0","0","0",,"0","0",,"1","2","50.0"
"Alvarez, Yordan",670541,"-1","0","3","0.0","0","0",,"0","1","0.0","2","3","66.7","2","2","100.0"
"Taylor, Chris",621035,"-1","0","8","0.0","0","2","0.0","4","5","80.0","1","2","50.0","5","6","83.3"
"Mateo, Jorge",622761,"-1","1","2","50.0","0","0",,"0","1","0.0","0","0",,"2","2","100.0"
"Cole, Zach",805904,"-1","0","2","0.0","0","1","0.0","0","0",,"2","2","100.0","3","3","100.0"
"Johnston, Troy",687859,"-1","0","3","0.0","0","0",,"0","0",,"1","1","100.0","4","4","100.0"
"Martini, Nick",605361,"-1","0","4","0.0","0","0",,"0","1","0.0","0","0",,"3","3","100.0"
"Smith, Josh",669701,"-1","1","6","16.7","0","0",,"0","1","0.0","0","1","0.0","4","4","100.0"
"Loftin, Nick",679845,"-1","0","6","0.0","0","2","0.0","2","2","100.0","2","2","100.0","3","3","100.0"
"Conine, Griffin",665052,"-1","2","7","28.6","0","1","0.0","1","3","33.3","0","1","0.0","5","5","100.0"
"Hassell III, Robert",690987,"-1","0","5","0.0","1","3","33.3","3","4","75.0","6","9","66.7","10","10","100.0"
"Jackson, Jeremiah",669236,"-2","1","6","16.7","0","2","0.0","1","2","50.0","4","6","66.7","10","10","100.0"
"Schwarber, Kyle",656941,"-2","0","0",,"0","1","0.0","0","2","0.0","0","0",,"1","2","50.0"
"Carlson, Dylan",666185,"-2","1","20","5.0","0","5","0.0","2","4","50.0","8","10","80.0","15","16","93.8"
"Santander, Anthony",623993,"-2","0","3","0.0","0","2","0.0","1","1","100.0","2","4","50.0","6","7","85.7"
"Grichuk, Randal",545341,"-2","0","9","0.0","0","1","0.0","0","0",,"3","3","100.0","1","2","50.0"
"Donovan, Brendan",680977,"-2","0","3","0.0","0","2","0.0","0","1","0.0","2","2","100.0","4","4","100.0"
"Haggerty, Sam",664059,"-2","0","5","0.0","0","2","0.0","0","1","0.0","2","3","66.7","6","7","85.7"
"Dezenzo, Zach",701305,"-2","0","1","0.0","0","3","0.0","2","3","66.7","1","1","100.0","4","5","80.0"
"Clase, Jonatan",682729,"-2","0","3","0.0","0","3","0.0","1","3","33.3","4","5","80.0","7","8","87.5"
"Reynolds, Bryan",668804,"-2","0","26","0.0","3","6","50.0","5","8","62.5","15","19","78.9","20","23","87.0"
"Wilson, Weston",642215,"-2","0","6","0.0","0","0",,"0","1","0.0","1","2","50.0","3","3","100.0"
"Kim, Hyeseong",808975,"-2","0","3","0.0","0","2","0.0","0","0",,"1","1","100.0","0","0",
"Marte, Noelvi",682622,"-2","0","7","0.0","1","2","50.0","3","5","60.0","3","5","60.0","5","6","83.3"
"Beck, Jordan",687597,"-2","1","33","3.0","2","9","22.2","9","13","69.2","17","19","89.5","29","31","93.5"
"Stanton, Giancarlo",519317,"-2","0","4","0.0","0","1","0.0","0","4","0.0","0","0",,"1","1","100.0"
"Noel, Jhonkensy",678877,"-2","0","6","0.0","0","0",,"1","4","25.0","6","7","85.7","7","8","87.5"
"Grisham, Trent",663757,"-2","1","21","4.8","1","4","25.0","7","14","50.0","23","24","95.8","19","21","90.5"
"Joe, Connor",656582,"-2","0","3","0.0","0","0",,"0","2","0.0","2","3","66.7","0","0",
"Hinds, Rece",677956,"-2","0","2","0.0","0","1","0.0","1","2","50.0","4","5","80.0","2","3","66.7"
"Suwinski, Jack",669261,"-2","0","7","0.0","1","3","33.3","1","3","33.3","10","11","90.9","11","11","100.0"
"Canzone, Dominic",686527,"-2","0","10","0.0","0","4","0.0","1","6","16.7","11","12","91.7","10","10","100.0"
"Thomas, Lane",657041,"-2","0","3","0.0","0","2","0.0","2","2","100.0","8","10","80.0","3","4","75.0"
"Trout, Mike",545361,"-2","0","4","0.0","0","1","0.0","2","2","100.0","3","3","100.0","1","1","100.0"
"Fernández, Yanquiel",692585,"-2","0","5","0.0","0","3","0.0","1","1","100.0","3","4","75.0","6","6","100.0"
"Barger, Addison",680718,"-2","2","9","22.2","2","5","40.0","2","4","50.0","12","14","85.7","7","10","70.0"
"Tucker, Kyle",663656,"-2","0","24","0.0","1","6","16.7","5","8","62.5","17","21","81.0","20","21","95.2"
"McNeil, Jeff",643446,"-2","1","10","10.0","0","0",,"4","7","57.1","0","0",,"8","11","72.7"
"Kayfus, C.J.",692216,"-2","0","0",,"0","0",,"2","4","50.0","4","4","100.0","5","6","83.3"
"Canario, Alexander",672744,"-2","2","15","13.3","0","2","0.0","3","5","60.0","10","11","90.9","11","15","73.3"
"Pham, Tommy",502054,"-3","0","17","0.0","1","7","14.3","6","10","60.0","19","20","95.0","18","21","85.7"
"India, Jonathan",663697,"-3","0","4","0.0","0","1","0.0","0","1","0.0","1","2","50.0","3","4","75.0"
"Brown, Seth",664913,"-3","0","5","0.0","0","0",,"0","2","0.0","3","3","100.0","0","0",
"Frazier, Adam",624428,"-3","0","5","0.0","0","0",,"2","7","28.6","3","4","75.0","6","6","100.0"
"Moore, Dylan",664238,"-3","0","4","0.0","0","0",,"0","2","0.0","2","5","40.0","1","1","100.0"
"Palacios, Richie",680700,"-3","0","1","0.0","0","2","0.0","0","2","0.0","0","1","0.0","0","0",
"Yastrzemski, Mike",573262,"-3","0","20","0.0","1","4","25.0","5","10","50.0","18","20","90.0","20","24","83.3"
"Rooker, Brent",667670,"-3","0","8","0.0","0","0",,"0","3","0.0","5","5","100.0","6","7","85.7"
"Steer, Spencer",668715,"-3","0","1","0.0","0","1","0.0","0","1","0.0","0","0",,"2","2","100.0"
"Andujar, Miguel",609280,"-3","0","10","0.0","0","0",,"2","3","66.7","3","6","50.0","4","4","100.0"
"Carpenter, Kerry",681481,"-3","0","9","0.0","1","3","33.3","3","6","50.0","6","9","66.7","13","14","92.9"
"Gurriel Jr., Lourdes",666971,"-3","0","17","0.0","0","2","0.0","7","13","53.8","14","17","82.4","18","20","90.0"
"Yelich, Christian",592885,"-3","0","3","0.0","0","1","0.0","0","1","0.0","3","4","75.0","3","4","75.0"
"Stowers, Kyle",669065,"-3","0","26","0.0","0","0",,"4","8","50.0","14","15","93.3","18","20","90.0"
"Wade, Tyler",642180,"-3","0","3","0.0","0","0",,"0","1","0.0","1","3","33.3","8","9","88.9"
"Duran, Jarren",680776,"-4","2","27","7.4","3","9","33.3","17","22","77.3","24","31","77.4","37","40","92.5"
"O'Neill, Tyler",641933,"-4","0","12","0.0","0","0",,"1","2","50.0","3","5","60.0","7","10","70.0"
"Soler, Jorge",624585,"-4","0","3","0.0","0","2","0.0","0","4","0.0","1","2","50.0","4","4","100.0"
"Lowe, Josh",666139,"-4","1","14","7.1","0","4","0.0","2","7","28.6","12","13","92.3","14","14","100.0"
"Palacios, Joshua",641943,"-4","0","5","0.0","0","1","0.0","0","0",,"4","6","66.7","5","5","100.0"
"Rodríguez, Johnathan",671286,"-4","0","3","0.0","0","3","0.0","0","3","0.0","2","4","50.0","4","4","100.0"
"Larnach, Trevor",663616,"-4","0","8","0.0","0","1","0.0","1","3","33.3","6","11","54.5","10","11","90.9"
"Wallner, Matt",670242,"-4","0","19","0.0","0","5","0.0","2","6","33.3","6","8","75.0","16","17","94.1"
"Walker, Jordan",691023,"-4","0","19","0.0","0","3","0.0","4","8","50.0","11","17","64.7","23","24","95.8"
"Burleson, Alec",676475,"-4","0","8","0.0","0","3","0.0","0","5","0.0","6","7","85.7","16","18","88.9"
"Arozarena, Randy",668227,"-5","0","29","0.0","0","3","0.0","4","10","40.0","27","32","84.4","30","31","96.8"
"Verdugo, Alex",657077,"-5","0","6","0.0","0","1","0.0","1","4","25.0","7","10","70.0","6","9","66.7"
"Lugo, Matthew",683090,"-5","0","3","0.0","0","1","0.0","0","3","0.0","3","4","75.0","3","4","75.0"
"Baldwin, Brooks",681460,"-5","2","12","16.7","0","2","0.0","5","8","62.5","9","14","64.3","4","6","66.7"
"Martínez, Angel",682657,"-5","0","11","0.0","0","5","0.0","8","11","72.7","9","12","75.0","18","20","90.0"
"Altuve, Jose",514888,"-5","0","8","0.0","0","0",,"0","2","0.0","4","9","44.4","4","4","100.0"
"Lee, Jung Hoo",808982,"-5","0","24","0.0","0","4","0.0","7","10","70.0","16","21","76.2","27","27","100.0"
"Morel, Christopher",666624,"-5","0","9","0.0","0","3","0.0","1","4","25.0","8","9","88.9","5","7","71.4"
"Jones, Nolan",666134,"-5","1","19","5.3","0","3","0.0","3","5","60.0","11","13","84.6","14","20","70.0"
"Simpson, Chandler",802415,"-5","2","18","11.1","1","5","20.0","7","11","63.6","8","11","72.7","16","19","84.2"
"Sheets, Gavin",657757,"-5","0","13","0.0","0","0",,"0","2","0.0","5","9","55.6","5","6","83.3"
"Matos, Luis",682641,"-6","0","7","0.0","1","2","50.0","2","7","28.6","6","10","60.0","7","8","87.5"
"Profar, Jurickson",595777,"-6","0","13","0.0","1","4","25.0","2","6","33.3","11","14","78.6","20","23","87.0"
"Lux, Gavin",666158,"-6","0","10","0.0","0","2","0.0","0","5","0.0","5","8","62.5","4","5","80.0"
"Springer, George",543807,"-6","0","6","0.0","0","2","0.0","2","4","50.0","3","6","50.0","8","8","100.0"
"Wood, James",695578,"-7","0","13","0.0","1","10","10.0","4","13","30.8","8","10","80.0","19","19","100.0"
"Caglianone, Jac",695506,"-7","0","8","0.0","1","2","50.0","1","5","20.0","9","15","60.0","6","7","85.7"
"Kjerstad, Heston",677008,"-7","0","5","0.0","0","3","0.0","2","5","40.0","4","7","57.1","3","5","60.0"
"Lile, Daylen",695734,"-8","0","22","0.0","0","6","0.0","0","4","0.0","9","10","90.0","13","15","86.7"
"Bleday, JJ",668709,"-8","0","20","0.0","2","9","22.2","4","8","50.0","17","21","81.0","13","17","76.5"
"Benintendi, Andrew",643217,"-8","0","9","0.0","0","3","0.0","2","8","25.0","10","14","71.4","16","17","94.1"
"Freeman, Tyler",671289,"-8","0","13","0.0","0","3","0.0","1","4","25.0","3","6","50.0","11","13","84.6"
"Conforto, Michael",624424,"-8","0","18","0.0","1","4","25.0","4","8","50.0","15","18","83.3","15","18","83.3"
"Moniak, Mickey",666160,"-8","0","24","0.0","0","6","0.0","5","10","50.0","21","26","80.8","23","25","92.0"
"Ramos, Heliot",671218,"-9","0","31","0.0","4","7","57.1","9","18","50.0","13","20","65.0","26","30","86.7"
"Laureano, Ramón",657656,"-9","0","13","0.0","0","4","0.0","6","12","50.0","14","18","77.8","25","30","83.3"
"Hernández, Teoscar",606192,"-9","0","28","0.0","0","7","0.0","4","10","40.0","21","22","95.5","23","26","88.5"
"Domínguez, Jasson",691176,"-10","0","20","0.0","0","3","0.0","4","14","28.6","13","18","72.2","13","13","100.0"
"Acuña Jr., Ronald",660670,"-11","0","25","0.0","0","0",,"1","6","16.7","4","9","44.4","19","22","86.4"
"Soto, Juan",665742,"-12","0","25","0.0","0","7","0.0","2","10","20.0","15","19","78.9","20","25","80.0"
"Adell, Jo",666176,"-12","0","19","0.0","2","8","25.0","4","11","36.4","16","24","66.7","32","34","94.1"
"Castellanos, Nick",592206,"-12","0","29","0.0","0","1","0.0","2","10","20.0","14","20","70.0","31","34","91.2"