"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
641312,,"R",216,108,"44.9",-1.654783112778801,6.069351851851852,-0.15548493307255562,4.575146178286129
641329,,"R",1102,9999,"54.3",-1.1400758380372855,6.587994555353902,0.3372282228713957,4.530646170631262
641343,,"L",3,158,"54.5",1.0314419103979449,6.8933333333333335,-0.2622140819964349,5.0836696969696975
641386,,"L",187,133,"33.4",2.039205067334134,6.045187165775401,-0.04627644771082959,4.6688151095732415
641401,,"R",839,108,"30.6",-2.095791282901201,5.704648390941597,-0.06708857002330676,4.506657281820519
641482,,"L",598,9999,"51.2",1.4998377248860881,5.720886287625418,0.2240654777660532,4.135047853510513
641540,,"R",371,9999,"39.2",-1.8483984200648271,5.71099730458221,-0.029643584809567053,4.224589894105155
641585,,"R",76,117,"40.4",-1.4321503461169136,5.3921052631578945,0.04527542569659442,4.133303343418707
641656,,"R",641,147,"36.2",-1.8054782359710737,5.883447737909516,0.01736604152936171,4.54595438875309
641658,,"R",3,138,"58.2",-1.613729687161502,6.68,-0.5040067736185384,4.890592632204397
641672,,"R",585,9999,"42.1",-1.6771884704746276,5.719418803418804,0.03461163078751314,4.171322017612018
641745,,"R",1113,112,"47.0",-1.4844976254378246,6.352066486972148,0.15054206781626314,4.59906862168538
641755,,"R",1225,9999,"45.8",-1.4242280871836446,6.51614693877551,0.15805758223289315,4.885044452981193
641778,,"L",1682,141,"38.6",1.5977007545069184,6.084964328180737,-0.24978672422271253,4.604150753919555
641793,,"R",2787,9999,"39.3",-2.0115855248864563,6.122034445640473,-0.2610318489459913,4.686458920107169
641816,,"R",1381,140,"41.1",-1.892631728145067,5.618877624909486,-0.23517343273429442,4.1723585118768725
641835,,"L",301,9999,"40.3",2.0356520433322842,6.1881063122923585,0.17880099756604545,4.611879745471127
641927,,"R",2354,142,"31.5",-2.359747975721502,5.932812234494477,-0.2361724407350026,4.627110922736284
641941,,"R",1066,113,"42.5",-1.5436632040012226,5.600975609756097,0.15151491975265288,4.048056738252183
642016,,"R",255,143,"34.6",-2.058734616365833,6.107882352941177,-0.12916431966726086,4.777350522526301
642048,,"L",203,136,"25.4",2.4787965825627776,5.503300492610838,0.24932554507696494,4.443271824591906
642100,,"L",920,136,"27.8",2.0165633899360778,5.343684782608696,0.07777068181818182,4.319546831066419
642121,,"R",387,139,"41.7",-1.6927022438707413,5.739560723514212,-0.10517044590916,4.323368756189344
642152,,"R",841,9999,"34.8",-2.049854175107956,6.072033293697978,-0.11413286152424433,4.725124295730615
642207,,"R",1114,147,"21.0",-2.443868845787221,5.260430879712747,-0.46983838482512313,4.507977726120642
642216,,"R",171,147,"28.5",-2.1807598594777278,5.599122807017544,-0.11938190105388248,4.479710958397181
642232,,"L",1017,147,"13.0",3.241339449550072,5.037148475909538,0.9307659005463275,4.503181169319431
642239,,"L",347,158,"41.5",2.01090261707816,5.652391930835735,0.34787734284701566,4.1805436743259
642397,,"L",1031,9999,"36.0",2.129313712059382,5.656818622696411,0.16750364191351524,4.228785785826543
642520,,"R",121,140,"43.5",-1.9427435745527681,5.725619834710744,-0.2797456571058175,4.14487309188138
642528,,"R",467,147,"44.6",-1.6596147427594337,5.401605995717345,-0.028216345849221544,3.78913593976037
642547,,"R",3086,158,"38.4",-2.1211873368620857,5.320466623460791,-0.357119044549417,3.9200493286915896
642585,,"R",626,110,"65.8",-0.27710280468042137,6.96832268370607,0.7644215206471784,4.63745625039153
642701,,"R",1001,134,"31.9",-2.3949736423246297,5.75975024975025,-0.3330267980682419,4.47391254921549
642759,,"R",76,9999,"47.6",-1.1988418641122192,6.348421052631579,0.4826488694999531,4.504623782718829
643338,,"R",709,141,"46.1",-1.5642065636138027,6.138631875881523,0.07264075836771432,4.434513002421125
643361,,"R",216,9999,"49.6",-1.0791079998069553,6.166898148148148,0.3343986531986532,4.508181882551
643377,,"R",1092,9999,"43.2",-1.4509927736199657,5.493159340659341,0.21140330388565684,3.930092331443067
643410,,"R",832,147,"50.1",-1.3027851167379343,5.7946875,0.07953419021236117,4.140508791499554
643511,,"R",964,9999,"-60.6",-2.822497623247724,1.3316182572614108,-1.6652346694920896,3.389811450174185
645261,,"R",2891,146,"31.8",-2.3420964718068578,5.954600484261501,-0.14768214703446864,4.591814671014785
645305,,"R",14,141,"44.5",-1.9955730218582508,7.020714285714286,-0.30863023936847467,5.3626156671759615
646242,,"L",26,136,"29.9",2.2588089835780565,5.445769230769231,0.3419010592348828,4.34176663924311
647315,,"R",127,9999,"29.3",-2.514608016020694,5.5705511811023625,-0.3940287668252698,4.376230367594425
647336,,"R",1527,9999,"32.8",-2.215811586402778,5.77931892599869,-0.20841015365722404,4.483790314096705
650556,,"R",1188,117,"40.7",-1.8051139939613636,5.636767676767676,-0.04683699682505387,4.1180868863921445
650633,,"R",1219,135,"26.6",-2.267994619383855,5.500278917145201,-0.2624817227674126,4.493773769739083
650644,,"R",1747,9999,"42.5",-1.4169719247400332,6.278380080137379,0.21343290831137054,4.782495134516314
650671,,"L",41,108,"35.0",2.110528576675424,5.301951219512195,0.22287438807008392,3.977927992261206
650893,,"L",714,9999,"45.1",1.5314459875723716,5.982521008403361,-0.15126780733683848,4.29458592511871
650911,,"L",2893,143,"29.6",2.189838693230404,5.914662979605946,0.17430989203147557,4.768564839556789
655889,,"R",431,139,"47.4",-1.5330594301179679,5.549512761020882,-0.0035554747695323552,3.8846317811663793
656186,,"R",456,145,"24.7",-2.1889848905777978,5.17796052631579,-0.29864960049410516,4.306935172545892
656222,,"L",916,109,"47.9",1.798225444627401,5.944650655021834,0.23087598428414638,4.210010532307405
656234,,"R",957,9999,"17.5",-2.494325495502351,5.211462904911181,-0.30742340163575643,4.521978319894501
656240,,"R",711,9999,"45.0",-1.4441520505300638,6.160028129395218,0.15448899293255214,4.563198450125479
656257,,"R",63,109,"37.2",-1.9140423011586685,5.591428571428572,-0.08717990549755256,4.203268647256882
656271,,"L",1014,108,"40.9",1.9252803784356696,6.2934516765285995,0.13739247829847379,4.743578857580328
656288,,"R",1343,121,"42.3",-1.6558817060304931,5.757334326135518,-0.008740227003953948,4.2585766355022345
656302,,"R",3044,135,"51.3",-1.4154893299678568,6.138521681997372,-0.031027070260071534,4.411051662573404
656420,,"R",81,9999,"44.3",-1.7047118012744018,6.101234567901234,-0.05567820250434632,4.492954622477498
656427,,"R",2829,116,"27.0",-2.0502590918867196,5.3180240367621066,-0.062488587106168676,4.303888332706392
656457,,"L",837,145,"10.8",3.089143424296734,4.889725209080048,0.7542826005149534,4.443210651422511
656458,,"L",18,115,"49.7",1.4333218613912424,5.767777777777778,-0.07017557932263813,3.9942684739552385
656464,,"R",491,109,"41.8",-1.7312656934640003,6.51908350305499,0.07803836526278721,4.90021606202192
656546,,"R",1127,141,"37.2",-1.9090117504234867,5.770292812777285,0.08443732275518902,4.25838289726958
656550,,"R",1964,144,"38.8",-1.9732527074453756,5.87337067209776,-0.24766838090077728,4.487358124720912
656557,,"R",749,111,"20.3",-2.6755458243305754,5.498798397863818,-0.3507925884542432,4.637244144182737
656605,,"R",2870,134,"37.9",-1.769971987077145,5.825606271777003,-0.049653942095685286,4.487432908010211
656629,,"R",231,119,"46.4",-1.481936429648643,5.805324675324675,-0.019944613437661574,4.268766724541056
656638,,"R",20,116,"40.0",-1.7139805252729214,5.668,0.08943474598930481,4.152220494652407
656641,,"L",1386,140,"48.8",1.2196541468733788,5.899805194805195,-0.2804490172285627,4.181204685767788
656686,,"R",332,110,"43.5",-1.4550762520838774,5.906084337349397,0.15203501438910721,4.382855380881816
656730,,"R",753,158,"53.8",-1.2069865042602879,6.519070385126162,0.274124118380903,4.494396412093752
656731,,"R",1231,121,"35.4",-2.111337618670235,5.889642567018684,-0.21945554380233742,4.544645374613918
656794,,"L",1545,9999,"30.6",2.409402862909989,6.003915857605178,0.2200935787342298,4.70645469642167
656848,,"R",327,9999,"49.0",-1.2934424788728631,6.395412844036697,0.32433410140258495,4.535716053137963
656849,,"L",2695,121,"40.4",1.8316658458057213,6.114356215213358,-0.058440676402792525,4.504520544647611
656876,,"R",2316,139,"54.9",-1.1535318289744028,5.925738341968912,0.16720917153091414,4.04464597618212
656896,,"R",1,110,"18.1",-2.667130215684792,5.98,-0.4331833333333333,5.2448999999999995
656945,,"L",911,119,"34.7",2.252374452701804,5.239626783754116,0.42045728411512295,3.9729885638198996
656986,,"L",727,117,"54.5",1.1177765825993877,6.353480055020633,-0.22978928863029519,4.46392925913394
657006,,"L",268,112,"44.7",1.6992481852062244,6.112164179104478,0.07614831125123048,4.5039745776465265
657024,,"R",128,141,"53.2",-1.3885515636361314,6.17015625,-0.08386161778631908,4.426479545454545
657044,,"R",650,109,"-9.0",-3.32002234750988,3.6596,-0.8620511075003428,4.048324423145482
657053,,"R",36,108,"31.0",-2.2077541538300687,5.539166666666667,-0.11741830808080808,4.27934705882353
657097,,"R",978,140,"34.2",-2.155093061418754,5.558640081799591,-0.2765072270886417,4.282654220024131
657240,,"R",353,112,"57.0",-0.9786666800192806,6.248186968838527,0.3718392772921685,4.170515103543349
657277,,"R",3282,137,"22.1",-2.66814707532393,4.990505789152955,-0.506557473134398,4.113438241893068
657376,,"R",1226,147,"35.1",-1.9090026694725248,5.600048939641109,0.02792885105250761,4.235467386730757
657424,,"L",531,9999,"50.3",1.532863891830465,6.3724293785310735,0.005953129164694474,4.529559681729223
657514,,"L",833,111,"17.6",2.410738589610975,5.044105642256903,0.26313915405734484,4.3625967023172905
657571,,"L",1030,9999,"45.2",1.5327470938960266,5.898116504854369,-0.16413892823148676,4.186682608293097
657585,,"R",955,121,"33.8",-1.8249434976911765,5.633549738219895,0.02686054437196106,4.393258781439277
657612,,"L",899,147,"-24.3",3.138132560810545,3.0308898776418243,0.9698012415260371,4.01179793115345
657649,,"L",1043,158,"31.1",2.46532645037187,5.931850431447747,0.4607502272171834,4.72464714111392
657746,,"R",2795,142,"25.3",-2.0596957847575266,4.797738819320215,0.029379487211375035,3.8084799744259388
657756,,"R",185,9999,"21.8",-2.5896949284605593,5.145783783783783,-0.5921661810473575,4.349656211398565
660271,,"R",753,119,"35.4",-1.9867043346958748,5.732204515272245,-0.14493438924042393,4.423706882511546
660604,,"R",174,143,"71.5",-0.29921660628733493,6.307298850574712,0.4786130232343721,3.972999430921794
660644,,"R",1,144,"37.1",-2.0081141775643174,6.24,-0.3283647058823529,4.966473529411765
660730,,"R",331,9999,"50.1",-1.4594750921057467,6.015105740181269,-0.02541179728689059,4.3007376695693385
660761,,"L",295,144,"40.4",1.8400951776796064,5.665152542372882,0.19036199794555728,4.2606358639233815
660787,,"R",589,147,"29.2",-2.1284745480633234,5.973803056027164,-0.08475356218733827,4.829492470091911
660825,,"R",1224,136,"44.2",-1.5375941750286717,5.845220588235294,0.12591104950893012,4.226492013852481
660853,,"R",1104,9999,"23.3",-2.540777516751649,5.423659420289855,-0.3600984263188147,4.4834951099873415
660896,,"R",1058,9999,"51.1",-1.4097601834486344,6.624839319470699,0.10384259550357348,4.7437970832533045
661395,,"R",1073,9999,"33.0",-2.1367054711900315,6.010055917986953,-0.07404406980279192,4.672496489509978
661403,,"R",746,114,"51.3",-1.3414642994287447,5.99328418230563,0.11694180119281444,4.171439041973114
661527,,"R",120,146,"9.9",-2.5066187603609724,4.432,-0.39816687908496734,4.061567297979798
661563,,"R",969,147,"34.6",-2.047643357089853,5.591960784313725,-0.09794898787547668,4.241263818847738
662253,,"R",1035,136,"29.9",-1.8628017914566355,5.32687922705314,-0.016388795456698274,4.267979936707226
663158,,"R",1075,135,"44.8",-1.375748521341066,6.1632,0.26753818977739086,4.531924013845708
663321,,"R",220,117,"47.5",-1.371971691604555,5.767863636363637,0.20650708272565224,4.039508495381623
663362,,"R",104,135,"32.6",-2.265766540701009,5.7548076923076925,-0.4080862736528178,4.568194235911148
663372,,"R",522,115,"41.0",-1.8539625606745527,5.524272030651341,-0.1482576568593303,4.039076534103715
663399,,"L",512,121,"40.7",2.1278986844137746,6.0031640625,0.3800643288352273,4.499623580938057
663423,,"R",656,136,"41.3",-1.7626799742026824,5.419603658536586,-0.09232973960371288,3.953493470936046
663432,,"R",200,9999,"43.0",-1.8967279569676099,6.11135,-0.17244462210338682,4.502274560606061
663436,,"R",2304,145,"38.3",-2.000739618519735,5.937369791666667,-0.2114644427965315,4.527244513726418
663455,,"L",500,120,"29.3",2.345844184563365,5.69884,0.31811483903743315,4.558045323351159
663460,,"L",1795,118,"37.8",1.9870901301195614,5.643526462395543,0.17876117383899623,4.243502026723072
663462,,"R",109,111,"43.9",-1.911375146436697,6.256605504587156,-0.17679120672455806,4.587581021766505
663465,,"L",1000,114,"46.0",1.6475815551694144,5.41259,0.14542066470588236,3.8510222247771835
663474,,"R",123,114,"49.2",-1.2659298353193509,6.2473983739837395,0.20141274799646391,4.550326715505123
663485,,"R",1143,142,"24.1",-2.4037816948216677,5.615249343832021,-0.2589801772550267,4.655739164300095
663542,,"L",318,9999,"12.9",2.870116404806956,5.012201257861635,0.3954298016233366,4.445416006625635
663546,,"R",254,137,"26.9",-2.306278020343861,6.278346456692914,-0.028362893525341423,5.123316984925681
663554,,"R",2352,116,"45.0",-1.569148590004177,5.787695578231292,-0.012655476698255059,4.232681473915323
663558,,"L",80,111,"49.6",1.4136010406192545,5.911875,0.02906319407308378,4.285219604500892
663559,,"L",1951,9999,"55.1",0.8801274308529048,5.820615069195284,-0.3283645695200871,4.089118704425995
663562,,"R",251,9999,"26.8",-2.2329759767926776,5.568725099601593,-0.2670532621741199,4.573964136679663
663568,,"R",1687,9999,"33.0",-2.149163410917458,5.260746887966805,-0.13123810025707758,3.951372390578261
663574,,"R",1230,113,"26.2",-2.1153133458045517,5.3835853658536585,-0.03479710338680927,4.3595455071518625
663623,,"R",2942,120,"27.1",-2.2813516159611007,5.673069340584636,-0.19804882660127893,4.606871638001966
663671,,"R",531,114,"54.0",-0.9236502332557724,6.2129566854990586,0.42737827410025814,4.35375910987576
663687,,"L",1125,133,"54.5",1.236591859294799,6.071795555555555,-0.10069775036640918,4.1990967653792834
663738,,"L",1088,118,"36.0",1.66401119760929,5.788584558823529,-0.22407069612102862,4.414394814685567
663765,,"R",625,109,"25.1",-2.512369470578476,5.052864,-0.43998231073083777,4.079280383315508
663767,,"R",692,134,"35.3",-2.02596699210534,5.384812138728324,-0.3047063806631428,4.168413404789136
663773,,"R",131,135,"31.7",-2.1521866967340224,6.096030534351145,-0.13027455674844537,4.847171163815977
663795,,"R",383,121,"23.3",-2.4634799396890505,5.2133942558746735,-0.5030515714664694,4.371283763840214
663804,,"R",263,136,"40.1",-1.7248589870169397,5.971330798479087,0.12338367628420192,4.416016968273656
663855,,"R",1199,9999,"35.1",-2.1857852343394155,5.649282735613011,-0.28148960527117817,4.309584473618092
663878,,"R",280,112,"39.8",-1.8190185279231652,5.5913571428571425,0.051376998981410744,4.027918898968679
663893,,"L",1240,141,"33.4",2.1208824358084186,6.037774193548387,0.18954523158530273,4.766109792636996
663903,,"R",2850,113,"25.1",-2.0663716338726874,5.233708771929825,-0.21962433255152142,4.367346675735685
663941,,"R",817,137,"43.0",-1.791061265610262,5.970636474908201,-0.07135374942455006,4.3722177057492635
663947,,"L",1158,116,"40.7",1.8201667262839667,5.8338428324697755,0.09235048003657421,4.3488119038603035
663969,,"R",1114,146,"30.0",-2.0678365202861473,5.905071813285458,0.04217988819977152,4.69088321004426
663978,,"R",2546,9999,"47.5",-1.5486104807416516,6.099202670856245,0.10162240125715358,4.298503468899521
663992,,"L",221,9999,"20.2",2.533965402251041,5.302171945701358,0.5840447088666811,4.5856952524983665
664062,,"R",609,119,"40.3",-1.8572465377739642,6.110738916256158,-0.11533119034447635,4.633609647474454
664076,,"L",874,139,"31.6",2.179050143382932,5.225320366132723,0.26015605693494376,4.045750261669053
664123,,"R",156,147,"-5.2",-3.1386192419206953,3.836153846153846,-0.8350252730929202,4.044201152932035
664126,,"R",986,139,"58.5",-0.9359050460259911,7.000547667342799,0.39784639742491135,4.822029348219096
664129,,"R",109,9999,"36.3",-2.1025626041061614,5.911926605504587,-0.13993922549837284,4.470787640844494
664139,,"R",387,113,"49.7",-1.3543319734221992,5.806976744186047,0.13352644041877967,4.046287487736461
664141,,"R",467,9999,"46.4",-1.5193738343828451,6.364967880085653,0.20272944936199125,4.554718457022677
664192,,"L",632,137,"48.0",1.6881539851034817,6.0575158227848105,0.09937030689433426,4.291065362062547
664199,,"R",865,118,"44.3",-1.6375255153610373,6.0542196531791905,0.08242582774360402,4.371563441624679
664208,,"R",1008,9999,"26.0",-2.266808005546448,5.164761904761905,-0.23045289475638742,4.168817743877854
664285,,"L",2889,117,"41.6",1.8198108344926411,5.983821391484943,0.20299742415295832,4.545334767502772
664294,,"R",284,134,"43.8",-1.7647925785873833,5.973133802816902,-0.1852866363510833,4.459493258705531
664299,,"R",616,117,"35.0",-2.136980560705639,5.715844155844156,-0.16887587911197538,4.339412178363081
664351,,"R",224,117,"47.6",-1.2251460726624828,5.466696428571429,0.20768928372485357,3.8959979174624393
664353,,"R",56,116,"50.9",-1.552450291021768,5.8430357142857146,-0.19135745161701045,4.167092801438757
664744,,"R",29,110,"46.9",-1.5059554209349846,6.342413793103448,0.07135169033130494,4.6544643801094105
664747,,"R",360,9999,"17.9",-2.522053239655923,4.942638888888889,-0.44231892602495543,4.271479514507823
664849,,"L",158,121,"14.8",2.7243752504771024,5.070569620253164,0.4290810764006408,4.464115370946998
664854,,"R",955,9999,"62.1",-0.9298199199681442,6.12717277486911,0.17802514003602393,4.028656586312773
664875,,"R",270,134,"-0.7",-3.1525689089342306,4.360814814814815,-0.7242806106819832,4.38965436456064
664948,,"L",115,142,"49.6",1.2994278600962306,6.05895652173913,-0.1803242245989305,4.322198981632178
664991,,"L",520,110,"42.0",1.935063593198519,6.218846153846154,0.010924988344988347,4.483834070855615
665152,,"R",2692,110,"43.3",-1.6629771861364184,6.212135958395245,-0.015394003159821274,4.656551316007289
665625,,"R",187,9999,"21.2",-2.783799780232923,5.425133689839572,-0.4753212283260412,4.529143851220605
665660,,"R",765,133,"18.6",-2.697558516716448,5.661816993464052,-0.3122563562965293,4.8592372976594085
665665,,"L",25,113,"26.1",2.3979348261541915,5.3512,0.43060280213903745,4.3883981497326205
665795,,"R",2251,146,"35.9",-1.967876591518302,6.043465126610395,0.00942764958493394,4.610372853459465
665871,,"R",567,112,"51.8",-1.1664352516328438,5.9692592592592595,0.2109240067968826,4.221844722355834
666120,,"R",203,108,"63.3",-0.7260488846824543,6.133596059113301,0.27815933589736835,4.135854201241625
666142,,"L",1079,118,"38.2",1.8921059099341149,6.1652734012974975,0.038049848922634175,4.704917922616009
666157,,"L",2478,113,"15.1",3.0134801700267144,5.406957223567393,0.5920212555695108,4.755026713510263
666168,,"R",239,120,"35.4",-1.8077158940026332,5.824225941422594,0.008390818099777002,4.53315278529822
666171,,"R",1029,108,"37.5",-1.8711017098221896,5.89069970845481,-0.047946277731871975,4.492233794816628
666200,,"L",3009,143,"32.5",2.174603207601466,5.814001329345297,0.21631018030282295,4.563199859482752
666214,,"L",1815,9999,"49.0",1.3099643056119419,6.258292011019284,-0.31550856228792545,4.387301756848996
666215,,"R",256,9999,"40.1",-1.7771503273340647,6.182421875,0.0367042443042558,4.653407517616421
666277,,"R",692,146,"29.2",-2.0143384016308,5.491835260115607,0.006400958110516929,4.365284734629532
666374,,"R",822,136,"29.7",-2.0520096374386614,5.2562043795620434,0.05515316431814929,4.053570705878016
666619,,"R",132,136,"36.4",-1.8727429323405889,5.951818181818182,0.14141994476854103,4.4662287919299954
666659,,"R",185,9999,"34.1",-2.161129279940629,5.805513513513514,-0.278912575034928,4.530202714265068
666661,,"R",617,109,"46.4",-1.6217718447519875,5.783679092382496,0.046259620757099065,4.030922846445193
666711,,"R",314,137,"43.7",-1.6688957105447708,6.055987261146496,0.10479512443657255,4.360015562235317
666808,,"R",1103,9999,"15.7",-2.2870053492227878,5.365213055303717,-0.05184091143421845,4.735539940738514
666974,,"R",986,110,"17.0",-2.95579167067246,5.544584178498986,-0.5146408201451335,4.797479601316831
667297,,"R",461,141,"42.2",-1.7914734002984036,6.131713665943601,0.02721923161692206,4.4802218578537705
667463,,"L",782,138,"28.7",2.3989009183117007,5.58925831202046,0.41635916521921484,4.5008976294842515
667755,,"R",2784,108,"36.5",-2.1133107724062765,5.875068247126436,-0.20676592615429137,4.46811055387803
668390,,"R",619,140,"37.9",-2.083016972826935,5.4362035541195475,-0.2491646468486058,4.006763793307013
668670,,"R",5,116,"25.9",-2.3180830681462683,5.352,-0.5059470588235294,4.472484705882353
668674,,"R",962,118,"41.4",-1.6436663338020727,5.980561330561331,0.1063744740421211,4.436923028190676
668678,,"R",3133,109,"42.1",-1.4166426287503004,5.966157037982764,0.16808350111770906,4.534202899159258
668716,,"R",391,133,"16.6",-2.6261113402367786,5.043427109974425,-0.27639625212558866,4.340867401333935
668820,,"R",528,121,"42.3",-1.5845306824126153,5.86717803030303,-0.03399655343542376,4.457759706186193
668834,,"R",223,158,"24.8",-2.25605538985363,5.549551569506726,-0.056906831970456345,4.534136633414067
668881,,"R",1748,113,"34.8",-2.0688159455826503,5.970120137299771,-0.17845971025710056,4.660160577099573
668909,,"R",2924,114,"34.6",-2.102293758469255,6.006217510259918,-0.16911922490983708,4.671834570467286
